loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel
2020-05-20 01:14:22.854 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.000457125,-0.072357177734375,-0.3292694091796875,-0.9472198486328125,1,0.6
2020-05-20 01:14:22.893 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.050343125,-0.0722503662109375,-0.3253631591796875,-0.9387664794921875,1,0.6
2020-05-20 01:14:22.942 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.100229125,-0.0682220458984375,-0.3209075927734375,-0.9352874755859375,1,0.6
2020-05-20 01:14:22.992 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.150115125,-0.07073974609375,-0.3274078369140625,-0.94000244140625,1,0.6
2020-05-20 01:14:23.042 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.199998125,-0.0756072998046875,-0.333526611328125,-0.9378814697265625,1,0.6
2020-05-20 01:14:23.092 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.249883125,-0.092498779296875,-0.3063507080078125,-0.943572998046875,1,0.6
2020-05-20 01:14:23.142 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.299768125,-0.0861358642578125,-0.3016357421875,-0.944122314453125,1,0.6
2020-05-20 01:14:23.192 -0400,1589951661.999672,41.35196690703129,-71.84494203856271,20.74865,0,-1,3.358060257892066,4.748470104902705,-9999,16708.349654125,-0.040863037109375,-0.281951904296875,-0.9575042724609375,1,0.6
2020-05-20 01:14:23.242 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.399537125,-0.012115478515625,-0.321502685546875,-0.9118499755859375,1,0.6
2020-05-20 01:14:23.292 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.449421125,-0.04486083984375,-0.34234619140625,-0.883209228515625,1,0.6
2020-05-20 01:14:23.342 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.499304125,-0.1003570556640625,-0.35699462890625,-0.8963623046875,1,0.6
2020-05-20 01:14:23.391 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.549191125,-0.082244873046875,-0.2397918701171875,-0.8841094970703125,1,0.6
2020-05-20 01:14:23.441 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.599072125,-0.0063629150390625,0.089996337890625,-0.909027099609375,1,0.6
2020-05-20 01:14:23.491 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.648955125,0.0519561767578125,0.2875213623046875,-0.92431640625,1,0.6
2020-05-20 01:14:23.549 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.698839125,0.130035400390625,0.51885986328125,-0.80718994140625,1,0.6
2020-05-20 01:14:23.591 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.748721125,0.1219024658203125,0.6306610107421875,-0.688201904296875,1,0.6
2020-05-20 01:14:23.641 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.798604125,-0.0246124267578125,0.682769775390625,-0.6995849609375,1,0.6
2020-05-20 01:14:23.691 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.848486125,-0.0444793701171875,0.790740966796875,-0.560577392578125,1,0.6
2020-05-20 01:14:23.741 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.898368125,-0.0814361572265625,0.88922119140625,-0.4766082763671875,1,0.6
2020-05-20 01:14:23.791 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.948256125,-0.0835723876953125,0.9634857177734375,-0.3546295166015625,1,0.6
2020-05-20 01:14:23.841 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16708.998142125,-0.1544342041015625,1.0068359375,-0.345916748046875,1,0.6
2020-05-20 01:14:23.890 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.048027125,-0.3975067138671875,1.224197387695312,-0.3201446533203125,1,0.6
2020-05-20 01:14:23.940 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.097915125,-0.264984130859375,1.115402221679688,-0.263763427734375,1,0.6
2020-05-20 01:14:23.990 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.147802125,-0.25537109375,1.009674072265625,-0.142120361328125,1,0.6
2020-05-20 01:14:24.050 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.197687125,-0.1419830322265625,0.9517364501953125,-0.049560546875,1,0.6
2020-05-20 01:14:24.090 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.247572125,-0.2358245849609375,0.8751220703125,-0.05035400390625,1,0.6
2020-05-20 01:14:24.140 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.297459125,-0.3439788818359375,0.9414215087890625,0.0516815185546875,1,0.6
2020-05-20 01:14:24.190 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.347345125,-0.3208770751953125,1.003829956054688,0.0894927978515625,1,0.6
2020-05-20 01:14:24.240 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.397229125,-0.2759857177734375,0.98052978515625,0.150970458984375,1,0.6
2020-05-20 01:14:24.290 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.447115125,-0.27423095703125,0.9378509521484375,0.1905059814453125,1,0.6
2020-05-20 01:14:24.345 -0400,1589951662.999669,41.35197078791243,-71.84494234633499,20.32825,0,-1,3.311640396906363,4.780959622750092,-9999,16709.49700316667,-0.2961883544921875,0.89697265625,0.1765289306640625,1,0.6
2020-05-20 01:14:24.389 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.54688716667,-0.290496826171875,0.9408111572265625,0.303070068359375,1,0.6
2020-05-20 01:14:24.439 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.59677216667,-0.27081298828125,0.9668426513671875,0.2789459228515625,1,0.6
2020-05-20 01:14:24.489 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.64665816667,-0.2447357177734375,0.9056243896484375,0.3497314453125,1,0.6
2020-05-20 01:14:24.539 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.69654716667,-0.2578125,0.920135498046875,0.2971343994140625,1,0.6
2020-05-20 01:14:24.589 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.74643416667,-0.2364501953125,0.98187255859375,0.2696380615234375,1,0.6
2020-05-20 01:14:24.638 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.79632316667,-0.156036376953125,0.9767608642578125,0.1431121826171875,1,0.6
2020-05-20 01:14:24.688 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.84621016667,-0.0884246826171875,1.040298461914062,0.0399322509765625,1,0.6
2020-05-20 01:14:24.738 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.89609716667,-0.1849365234375,0.960052490234375,0.24169921875,1,0.6
2020-05-20 01:14:24.788 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.94598416667,-0.1601104736328125,0.9198455810546875,0.1579742431640625,1,0.6
2020-05-20 01:14:24.838 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16709.99587316667,-0.16619873046875,0.99920654296875,0.190093994140625,1,0.6
2020-05-20 01:14:24.888 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16710.04576316667,-0.1436920166015625,0.9602203369140625,0.1484832763671875,1,0.6
2020-05-20 01:14:24.938 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16710.09565016667,-0.1399078369140625,0.962677001953125,0.1994476318359375,1,0.6
2020-05-20 01:14:24.988 -0400,1589951663.999671,41.35196863562471,-71.8449548825553,19.79376,0,-1,3.313351767600238,4.779773749554388,-9999,16710.14553916667,-0.1571044921875,0.9754180908203125,0.233673095703125,1,0.6
