loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel
2019-10-19 17:42:35.370 -0400,773,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.6419265417,1.014862060546875,0.1786956787109375,0.0129852294921875,1,0.67
2019-10-19 17:42:35.407 -0400,774,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.6819115417,0.8033599853515625,0.2164154052734375,-0.0623931884765625,1,0.67
2019-10-19 17:42:35.447 -0400,775,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.7218975417,0.9258270263671875,0.3511810302734375,-0.1526031494140625,1,0.67
2019-10-19 17:42:35.487 -0400,776,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.7618825417,0.8660888671875,0.3207550048828125,-0.16796875,1,0.67
2019-10-19 17:42:35.527 -0400,777,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.8018685417,1.259078979492188,0.4405517578125,-0.256622314453125,1,0.67
2019-10-19 17:42:35.567 -0400,778,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.8418535417,1.60809326171875,0.4668426513671875,-0.3214111328125,1,0.67
2019-10-19 17:42:35.607 -0400,779,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.8818395417,1.199295043945312,0.540252685546875,-0.4098968505859375,1,0.67
2019-10-19 17:42:35.647 -0400,780,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.9218245417,0.8767547607421875,0.285003662109375,-0.2968902587890625,1,0.67
2019-10-19 17:42:35.687 -0400,781,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338965.9618105417,0.7975921630859375,0.3572235107421875,-0.2103424072265625,1,0.67
2019-10-19 17:42:35.727 -0400,782,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338966.0017955417,0.8729248046875,0.4605712890625,-0.2698974609375,1,0.67
2019-10-19 17:42:35.767 -0400,783,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338966.0417815417,0.9927978515625,0.5749053955078125,-0.3021087646484375,1,0.67
2019-10-19 17:42:35.807 -0400,784,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338966.0817665417,1.013519287109375,0.636444091796875,-0.344879150390625,1,0.67
2019-10-19 17:42:35.852 -0400,785,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338966.1217530417,1.02679443359375,0.703033447265625,-0.4101715087890625,1,0.67
2019-10-19 17:42:35.887 -0400,786,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338966.1617380417,1.116058349609375,0.8133544921875,-0.45111083984375,1,0.67
2019-10-19 17:42:35.927 -0400,787,1571521355.001571,33.99590819493869,-81.02726929451637,92.8428,0,173.2083715080602,1.412116846524333,66.46876002280676,-9999,338966.2017240417,1.493606567382812,0.840576171875,-0.471466064453125,1,0.67
