loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel,label
2019-10-22 14:32:36.915 -0400,1,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431830.90110325,-0.026275634765625,0.00250244140625,-0.6728363037109375,1,0.95,5
2019-10-22 14:32:36.945 -0400,2,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431830.94108625,-0.2084197998046875,-0.176971435546875,-0.5599517822265625,1,0.95,5
2019-10-22 14:32:36.985 -0400,3,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431830.98106925,-0.058990478515625,0.184478759765625,-0.459136962890625,1,0.95,5
2019-10-22 14:32:37.025 -0400,4,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.0210525,0.1376495361328125,0.0183258056640625,-0.3892059326171875,1,0.95,5
2019-10-22 14:32:37.065 -0400,5,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.0610355,0.174530029296875,0.0904693603515625,-0.5138092041015625,1,0.95,5
2019-10-22 14:32:37.105 -0400,6,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.1010185,0.267242431640625,0.0216522216796875,-0.638397216796875,1,0.95,5
2019-10-22 14:32:37.145 -0400,7,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.1410015,0.52117919921875,-0.02703857421875,-0.63543701171875,1,0.95,5
2019-10-22 14:32:37.185 -0400,8,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.1809835,0.946075439453125,-0.065460205078125,-0.594451904296875,1,0.95,5
2019-10-22 14:32:37.225 -0400,9,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.2209665,1.37353515625,0.4529571533203125,-0.7161712646484375,1,0.95,5
2019-10-22 14:32:37.265 -0400,10,1571769155.544647,33.98847576707917,-81.02773745950249,65.24117,-1,-1,11.52660083770752,555,-9999,431831.2609495,1.731353759765625,0.5916900634765625,-0.7421112060546875,1,0.95,5
