loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel
2020-05-19 09:55:29.930 -0400,1589896529.000303,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.279941418268355,4.802761843514272,-9999,63488.00895775,-0.51751708984375,-0.7173614501953125,-0.44732666015625,1,0.84
2020-05-19 09:55:29.973 -0400,1589896529.000303,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.279941418268355,4.802761843514272,-9999,63488.05885075001,-0.5258941650390625,-0.7148284912109375,-0.43572998046875,1,0.84
2020-05-19 09:55:30.023 -0400,1589896529.000303,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.279941418268355,4.802761843514272,-9999,63488.10874275,-0.5160980224609375,-0.7516937255859375,-0.431396484375,1,0.84
2020-05-19 09:55:30.073 -0400,1589896529.000303,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.279941418268355,4.802761843514272,-9999,63488.15863375,-0.5105438232421875,-0.726959228515625,-0.4391326904296875,1,0.84
2020-05-19 09:55:30.123 -0400,1589896529.000303,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.279941418268355,4.802761843514272,-9999,63488.20852075001,-0.50677490234375,-0.7412872314453125,-0.4248199462890625,1,0.84
2020-05-19 09:55:30.173 -0400,1589896529.000303,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.279941418268355,4.802761843514272,-9999,63488.2584065,-0.5614013671875,-0.7097625732421875,-0.4131011962890625,1,0.84
2020-05-19 09:55:30.223 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.30829550001,-0.5395660400390625,-0.779876708984375,-0.4031219482421875,1,0.84
2020-05-19 09:55:30.273 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.3581865,-0.5110931396484375,-0.7250213623046875,-0.410858154296875,1,0.84
2020-05-19 09:55:30.323 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.4080785,-0.529510498046875,-0.807403564453125,-0.3613739013671875,1,0.84
2020-05-19 09:55:30.372 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.45797050001,-0.592315673828125,-0.605255126953125,-0.519561767578125,1,0.84
2020-05-19 09:55:30.422 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.5078615,-0.595062255859375,-0.658935546875,-0.549224853515625,1,0.84
2020-05-19 09:55:30.479 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.5577525,-0.5586395263671875,-0.3727569580078125,-0.5840911865234375,1,0.84
2020-05-19 09:55:30.522 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.60764450001,-0.6192169189453125,-0.1345977783203125,-0.57000732421875,1,0.84
2020-05-19 09:55:30.572 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.6575375,-0.65673828125,-0.0237274169921875,-0.741363525390625,1,0.84
2020-05-19 09:55:30.622 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.70743050001,-0.6457366943359375,0.03839111328125,-0.7710113525390625,1,0.84
2020-05-19 09:55:30.672 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.7573235,-0.5189056396484375,0.089752197265625,-0.8724365234375,1,0.84
2020-05-19 09:55:30.722 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.8072155,-0.4833984375,0.0198211669921875,-0.9961090087890625,1,0.84
2020-05-19 09:55:30.772 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.85710550001,-0.42706298828125,-0.087005615234375,-1.04620361328125,1,0.84
2020-05-19 09:55:30.821 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.9069975,-0.41851806640625,-0.1343994140625,-0.9644927978515625,1,0.84
2020-05-19 09:55:30.872 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63488.9568895,-0.464935302734375,-0.1480255126953125,-0.888824462890625,1,0.84
2020-05-19 09:55:30.921 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.0067835,-0.507354736328125,-0.016998291015625,-0.821990966796875,1,0.84
2020-05-19 09:55:30.982 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.0566735,-0.4998016357421875,0.012115478515625,-0.8480377197265625,1,0.84
2020-05-19 09:55:31.021 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.10656550001,-0.4652862548828125,-0.0018768310546875,-0.8945159912109375,1,0.84
2020-05-19 09:55:31.071 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.1564595,-0.4723968505859375,-0.0563812255859375,-0.8866424560546875,1,0.84
2020-05-19 09:55:31.121 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.20635450001,-0.4899444580078125,0.002227783203125,-0.8757476806640625,1,0.84
2020-05-19 09:55:31.171 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.256246625,-0.4793701171875,0.0035247802734375,-0.8939056396484375,1,0.84
2020-05-19 09:55:31.221 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.306136625,-0.488128662109375,-0.0105133056640625,-0.878662109375,1,0.84
2020-05-19 09:55:31.271 -0400,1589896530.000305,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.24197548804642,4.828470976167819,-9999,63489.35602762501,-0.489166259765625,0.0139923095703125,-0.867889404296875,1,0.84
2020-05-19 09:55:31.321 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.405920625,-0.4825592041015625,-0.0157928466796875,-0.8712158203125,1,0.84
2020-05-19 09:55:31.370 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.455810625,-0.4796295166015625,0.006561279296875,-0.881591796875,1,0.84
2020-05-19 09:55:31.420 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.505705625,-0.482391357421875,0.006195068359375,-0.8814239501953125,1,0.84
2020-05-19 09:55:31.483 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.55560262501,-0.4896087646484375,0.0084381103515625,-0.8736114501953125,1,0.84
2020-05-19 09:55:31.520 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.605499625,-0.484375,-0.0156707763671875,-0.8733367919921875,1,0.84
2020-05-19 09:55:31.570 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.65539362501,-0.479217529296875,0.0259857177734375,-0.8605499267578125,1,0.84
2020-05-19 09:55:31.620 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.705287625,-0.48040771484375,-0.0547637939453125,-0.90380859375,1,0.84
2020-05-19 09:55:31.670 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.75518162501,-0.467742919921875,-0.076416015625,-0.88458251953125,1,0.84
2020-05-19 09:55:31.720 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.805077625,-0.4761810302734375,-0.0635223388671875,-0.8717041015625,1,0.84
2020-05-19 09:55:31.769 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.85497162501,-0.49322509765625,-0.049041748046875,-0.847198486328125,1,0.84
2020-05-19 09:55:31.820 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.904866625,-0.4716033935546875,-0.0500640869140625,-0.9074859619140625,1,0.84
2020-05-19 09:55:31.869 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63489.95476062501,-0.48077392578125,-0.0285491943359375,-0.874847412109375,1,0.84
2020-05-19 09:55:31.919 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.004654625,-0.4699249267578125,-0.0764617919921875,-0.8767547607421875,1,0.84
2020-05-19 09:55:31.982 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.054548625,-0.465118408203125,-0.049285888671875,-0.8660736083984375,1,0.84
2020-05-19 09:55:32.019 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.104445625,-0.481475830078125,-0.041107177734375,-0.892059326171875,1,0.84
2020-05-19 09:55:32.069 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.15434162501,-0.4728546142578125,-0.0235595703125,-0.8762359619140625,1,0.84
2020-05-19 09:55:32.119 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.204237625,-0.482208251953125,-0.0338287353515625,-0.8749542236328125,1,0.84
2020-05-19 09:55:32.169 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.25413162501,-0.47491455078125,-0.0808868408203125,-0.891326904296875,1,0.84
2020-05-19 09:55:32.219 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.304025625,-0.47320556640625,-0.037139892578125,-0.8815155029296875,1,0.84
2020-05-19 09:55:32.269 -0400,1589896531.000312,41.35199701355344,-71.84493944447199,17.58184,0,-1,3.318926358279465,4.775904611809855,-9999,63490.35392062501,-0.474456787109375,-0.0334014892578125,-0.8800201416015625,1,0.84
2020-05-19 09:55:32.318 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.403815625,-0.4784393310546875,-0.044830322265625,-0.8781585693359375,1,0.84
2020-05-19 09:55:32.368 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.45370862501,-0.4711761474609375,-0.05126953125,-0.886016845703125,1,0.84
2020-05-19 09:55:32.418 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.503604625,-0.47442626953125,-0.040771484375,-0.89056396484375,1,0.84
2020-05-19 09:55:32.478 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.55350162501,-0.4848480224609375,-0.04705810546875,-0.8702392578125,1,0.84
2020-05-19 09:55:32.518 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.603397625,-0.479888916015625,-0.0512847900390625,-0.875762939453125,1,0.84
2020-05-19 09:55:32.568 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.653294625,-0.4701080322265625,-0.05914306640625,-0.88214111328125,1,0.84
2020-05-19 09:55:32.618 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.703189625,-0.4705047607421875,-0.050384521484375,-0.8774261474609375,1,0.84
2020-05-19 09:55:32.667 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.753084625,-0.47418212890625,-0.04754638671875,-0.86370849609375,1,0.84
2020-05-19 09:55:32.718 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.802976625,-0.468505859375,-0.0574188232421875,-0.896942138671875,1,0.84
2020-05-19 09:55:32.767 -0400,1589896532.000311,41.3519928489595,-71.84494469020254,17.36041,0,93.73366912288077,3.360320746866132,4.746870707210159,-9999,63490.85286862501,-0.472686767578125,-0.0969696044921875,-0.8758392333984375,1,0.84
